27.362, -46.4419, -15.0915 | -0.761, 0.47607, 2.5284 | 12.9036, 10.5376, 12.9646
8.8697, 23.4637, -25.2465 | -0.761, 0.47607, 2.5284 | 12.9036, 10.5376, 12.9646
8.8697, 23.4637, -25.2465 | -0.761, 0.47607, 2.5284 | 12.8951, 10.532, 12.9582
8.8697, 23.4637, -25.2465 | -0.761, 0.47607, 2.5284 | 12.8951, 10.532, 12.9582
8.8697, 23.4637, -25.2465 | 8.0811, -11.5562, -0.58769 | 12.8951, 10.532, 12.9582
-72.516, -4.5049, -120.4596 | 8.0811, -11.5562, -0.58769 | 12.8951, 10.532, 12.9582
-72.516, -4.5049, -120.4596 | 8.0811, -11.5562, -0.58769 | 12.8951, 10.532, 12.9582
-72.516, -4.5049, -120.4596 | 8.0811, -11.5562, -0.58769 | 12.8836, 10.5255, 12.9551
-72.516, -4.5049, -120.4596 | 1.2294, -7.2445, -5.239 | 12.8836, 10.5255, 12.9551
-108.9113, 27.7417, 146.9448 | 1.2294, -7.2445, -5.239 | 12.8836, 10.5255, 12.9551
-108.9113, 27.7417, 146.9448 | 1.2294, -7.2445, -5.239 | 12.8836, 10.5255, 12.9551
-108.9113, 27.7417, 146.9448 | 1.2294, -7.2445, -5.239 | 12.8714, 10.5163, 12.9822
-108.9113, 27.7417, 146.9448 | -16.8184, -1.2964, 6.1012 | 12.8714, 10.5163, 12.9822
-108.9113, 27.7417, 146.9448 | -16.8184, -1.2964, 6.1012 | 12.8714, 10.5163, 12.9822
105.6541, -68.3278, 68.6385 | -16.8184, -1.2964, 6.1012 | 12.8714, 10.5163, 12.9822
105.6541, -68.3278, 68.6385 | -16.8184, -1.2964, 6.1012 | 12.861, 10.5136, 12.9927
105.6541, -68.3278, 68.6385 | -1.2023, -3.2289, 4.3214 | 12.861, 10.5136, 12.9927
105.6541, -68.3278, 68.6385 | -1.2023, -3.2289, 4.3214 | 12.861, 10.5136, 12.9927
-14.7263, 15.5289, -25.5531 | -1.2023, -3.2289, 4.3214 | 12.861, 10.5136, 12.9927
-14.7263, 15.5289, -25.5531 | -1.2023, -3.2289, 4.3214 | 12.8488, 10.5084, 12.9906
-14.7263, 15.5289, -25.5531 | -1.2023, -3.2289, 4.3214 | 12.8488, 10.5084, 12.9906
-14.7263, 15.5289, -25.5531 | -1.2023, -3.2289, 4.3214 | 12.8488, 10.5084, 12.9906
-14.7263, 15.5289, -25.5531 | -1.2023, -3.2289, 4.3214 | 12.8488, 10.5084, 12.9906
-100.4109, 7.4599, 160.2601 | 10.8598, -17.2888, -4.2094 | 12.8495, 10.4985, 13.0053
-100.4109, 7.4599, 160.2601 | -15.1343, 3.581, 1.92 | 12.8495, 10.4985, 13.0053
-100.4109, 7.4599, 160.2601 | -15.1343, 3.581, 1.92 | 12.8495, 10.4985, 13.0053
-143.7061, -32.5855, 155.7673 | -15.1343, 3.581, 1.92 | 12.8495, 10.4985, 13.0053
-143.7061, -32.5855, 155.7673 | -15.1343, 3.581, 1.92 | 12.8495, 10.4985, 13.0053
-143.7061, -32.5855, 155.7673 | -15.1343, 3.581, 1.92 | 12.8433, 10.5064, 13.0557
-143.7061, -32.5855, 155.7673 | -1.625, 0.39716, 1.3619 | 12.8433, 10.5064, 13.0557
106.1176, -10.8278, -15.7882 | -1.625, 0.39716, 1.3619 | 12.8433, 10.5064, 13.0557
106.1176, -10.8278, -15.7882 | -1.625, 0.39716, 1.3619 | 12.8433, 10.5064, 13.0557
106.1176, -10.8278, -15.7882 | -1.625, 0.39716, 1.3619 | 12.8318, 10.4996, 13.0506
106.1176, -10.8278, -15.7882 | -1.625, 0.39716, 1.3619 | 12.8318, 10.4996, 13.0506
106.1176, -10.8278, -15.7882 | -1.625, 0.39716, 1.3619 | 12.8318, 10.4996, 13.0506
42.4559, -41.0341, 175.2504 | 9.9034, -9.4135, -9.1251 | 12.8318, 10.4996, 13.0506
42.4559, -41.0341, 175.2504 | 9.9034, -9.4135, -9.1251 | 12.8248, 10.4902, 13.0458
42.4559, -41.0341, 175.2504 | -7.07, 2.9557, 3.6465 | 12.8248, 10.4902, 13.0458
42.4559, -41.0341, 175.2504 | -7.07, 2.9557, 3.6465 | 12.8248, 10.4902, 13.0458
-85.8063, -42.7186, 126.9039 | -7.07, 2.9557, 3.6465 | 12.8248, 10.4902, 13.0458
-85.8063, -42.7186, 126.9039 | -7.07, 2.9557, 3.6465 | 12.8545, 10.4806, 13.0415
-85.8063, -42.7186, 126.9039 | -7.07, 2.9557, 3.6465 | 12.8545, 10.4806, 13.0415
-85.8063, -42.7186, 126.9039 | -4.9992, 3.1697, -0.48067 | 12.8545, 10.4806, 13.0415
-171.1917, 41.6463, -18.7658 | -4.9992, 3.1697, -0.48067 | 12.8545, 10.4806, 13.0415
-171.1917, 41.6463, -18.7658 | -4.9992, 3.1697, -0.48067 | 12.8472, 10.4956, 13.0362
166.0917, 50.6108, -14.5354 | -4.9992, 3.1697, -0.48067 | 12.8472, 10.4956, 13.0362
